date,miner,type,to_miner,address,value,pct_addrs,pct_value
10/1/2012 0:00,DeepBit,cross,CROSS,393,1442.777042,0.066228514,0.040660277
10/1/2012 0:00,DeepBit,after,SAME,2205,25979.2121,0.371587462,0.73214497
10/1/2012 0:00,DeepBit,after,DROPOUT,3569,9167.944762,0.601449275,0.258370601
11/1/2012 0:00,DeepBit,before,SAME,2205,27517.12382,0.578436516,0.928191403
11/1/2012 0:00,DeepBit,before,NEW,1566,2062.803866,0.410807975,0.069581284
11/1/2012 0:00,DeepBit,cross,SAME,3812,29645.95851,1,1
11/1/2012 0:00,DeepBit,cross,CROSS,203,359.2544382,0.053252886,0.012118159
11/1/2012 0:00,DeepBit,after,SAME,2186,26309.22114,0.573452256,0.887447142
11/1/2012 0:00,DeepBit,after,DROPOUT,1499,3026.905573,0.393231899,0.102101795
12/1/2012 0:00,DeepBit,before,SAME,2186,8099.963413,0.584023511,0.807937313
12/1/2012 0:00,DeepBit,before,NEW,1498,1832.979623,0.400213732,0.182832015
12/1/2012 0:00,DeepBit,cross,SAME,3743,10025.485,1,1
12/1/2012 0:00,DeepBit,cross,CROSS,291,470.0663848,0.077745124,0.046887147
12/1/2012 0:00,DeepBit,after,SAME,2461,8407.55575,0.657493989,0.838618356
12/1/2012 0:00,DeepBit,after,DROPOUT,1171,1498.339639,0.312850655,0.149453083
1/1/2013 0:00,DeepBit,before,SAME,2461,7265.112915,0.554904171,0.738618397
1/1/2013 0:00,DeepBit,before,NEW,1907,2486.874232,0.429988726,0.252831729
1/1/2013 0:00,DeepBit,cross,SAME,4435,9836.084427,1,1
1/1/2013 0:00,DeepBit,cross,CROSS,302,587.6847224,0.068094701,0.059747832
1/1/2013 0:00,DeepBit,after,SAME,1774,7170.719245,0.4,0.729021726
1/1/2013 0:00,DeepBit,after,DROPOUT,2532,2416.283702,0.570913191,0.245655039
2/1/2013 0:00,DeepBit,before,SAME,1774,6359.671122,0.431105711,0.708484405
2/1/2013 0:00,DeepBit,before,NEW,2281,2558.888721,0.554313487,0.28506706
2/1/2013 0:00,DeepBit,cross,SAME,4115,8976.444761,1,1
2/1/2013 0:00,DeepBit,cross,CROSS,383,638.0480019,0.093074119,0.071080257
2/1/2013 0:00,DeepBit,after,SAME,1673,6380.406913,0.406561361,0.710794427
2/1/2013 0:00,DeepBit,after,DROPOUT,2224,2243.343112,0.540461725,0.249914434
3/1/2013 0:00,DeepBit,before,SAME,1673,3340.611419,0.358244111,0.577597093
3/1/2013 0:00,DeepBit,before,NEW,2885,2384.872831,0.617773019,0.412348352
3/1/2013 0:00,DeepBit,cross,SAME,4670,5783.63614,1,1
3/1/2013 0:00,DeepBit,cross,CROSS,640,601.7823827,0.137044968,0.104049143
3/1/2013 0:00,DeepBit,after,SAME,1712,3172.354067,0.366595289,0.548505125
3/1/2013 0:00,DeepBit,after,DROPOUT,2595,2356.903659,0.555674518,0.407512437
4/1/2013 0:00,DeepBit,before,SAME,1712,2330.737679,0.305114953,0.566049068
4/1/2013 0:00,DeepBit,before,NEW,3764,1735.483419,0.670825165,0.421484057
4/1/2013 0:00,DeepBit,cross,SAME,5611,4117.55413,1,1
4/1/2013 0:00,DeepBit,cross,CROSS,983,380.0041895,0.175191588,0.092288815
4/1/2013 0:00,DeepBit,after,SAME,1353,2109.457317,0.241133488,0.512308339
4/1/2013 0:00,DeepBit,after,DROPOUT,3670,1835.096951,0.654072358,0.445676461
